,id,artist,album,date,duration,description,thumbnail,views,score,genre,shirt,shirt_rgb
0,o_tvpnk5HwY,Cordae,From a Birds Eye View,2022-01-21T03:38:38Z,PT9M11S,"listen: <url>  despite cordae's now elevated perspective, birds eye view offers a bit less food for thought than his debut.  more rap reviews: <url>  = subscribe: <url>  patreon: <url>  official site: <url>  twitter: <url>  instagram: <url>  tiktok: <url>  tnd twitch: <url> =  fav tracks: jean-michel, momma's hood, sinister, westlake high  least fav track: today  cordae - from a birds eye view / 2022 / atlantic / conscious hip hop, trap rap  6/10  y'all know this is just my opinion, right?",https://i.ytimg.com/vi/o_tvpnk5HwY/hqdefault.jpg,206512,6.0,"['conscious hip hop', 'trap rap']",other,"[(73, 72, 76), (184, 182, 183), (156, 156, 164)]"
1,NDAQaePWUwE,foxtails,fawn,2022-01-20T02:37:41Z,PT7M10S,"listen: <url>  fawn is a breath of fresh air for modern screamo.  more hardcore reviews: <url>  = subscribe: <url>  patreon: <url>  official site: <url>  twitter: <url>  instagram: <url>  tiktok: <url>  tnd twitch: <url> =  fav tracks: ego death, ataque de nervios, gazelle, gallons of spiders went flying thru the stratosphere, space orphan, life is a death scene princess, catalyst, paper tiger  least fav track: star-crossed  foxtails - fawn / 2022 / skeletal lightning / chamber screamo  8/10  y'all know this is just my opinion, right?",https://i.ytimg.com/vi/NDAQaePWUwE/hqdefault.jpg,120721,8.0,['chamber screamo'],yellow_check,"[(178, 161, 130), (55, 43, 48), (86, 73, 70)]"
2,scdj90F112k,Earl Sweatshirt,SICK!,2022-01-18T05:23:50Z,PT7M32S,"listen: <url>  for me, the efficacy and appeal of sick!'s disjointedness starts to wane in the second half.  more rap reviews: <url>  = subscribe: <url>  patreon: <url>  official site: <url>  twitter: <url>  instagram: <url>  tiktok: <url>  tnd twitch: <url> =  fav tracks: old friend, 2010, vision, fire in the hole  least fav track: lobby  earl sweatshirt - sick! / 2022 / tan cressida / abstract hip hop  6/10  y'all know this is just my opinion, right?",https://i.ytimg.com/vi/scdj90F112k/hqdefault.jpg,286477,6.0,['abstract hip hop'],other,"[(218, 173, 167), (180, 58, 75), (16, 11, 9)]"
3,HjYZe98PoWE,Roddy Ricch,Live Life Fast,2022-01-14T20:55:21Z,PT6M6S,"listen: <url>  llf follows up on none of the potential of roddy's debut.  more rap reviews: <url>  = subscribe: <url>  patreon: <url>  official site: <url>  twitter: <url>  instagram: <url>  tiktok: <url>  tnd twitch: <url> =  fav tracks: llf, slow it down, late at night  least fav track: hibachi  roddy ricch - live life fast / 2021 / atlantic / pop rap, trap  3/10  y'all know this is just my opinion, right?",https://i.ytimg.com/vi/HjYZe98PoWE/hqdefault.jpg,208760,3.0,"['pop rap', 'trap']",other,"[(149, 148, 151), (55, 58, 71), (80, 74, 79)]"
4,zw2UJpfIBaI,Nas,Magic,2022-01-13T06:20:17Z,PT5M9S,"listen: <url>  obviously magic isn't as robust as the previous hit-boy collabs, but it's still a reason to be excited for kd3.  more rap reviews: <url>  = subscribe: <url>  patreon: <url>  official site: <url>  twitter: <url>  instagram: <url>  tiktok: <url>  tnd twitch: <url> =  fav tracks: speechless, meet joe black, 40-16 building, wave gods, the truth, dedicated  least fav track: wu for the children  nas - magic / 2021 / mass appeal / east coast hip hop  7/10  y'all know this is just my opinion, right?",https://i.ytimg.com/vi/zw2UJpfIBaI/hqdefault.jpg,207843,7.0,['east coast hip hop'],other,"[(226, 132, 109), (184, 85, 63), (195, 100, 76)]"
5,LiQfSv1p_IA,The Weeknd,Dawn FM,2022-01-12T04:59:28Z,PT8M41S,"listen: <url>  while a bit front-loaded, dawn fm boasts a lot of fantastic songwriting and worldbuilding from abel and company.  more pop reviews: <url>  = subscribe: <url>  patreon: <url>  official site: <url>  twitter: <url>  instagram: <url>  tiktok: <url>  tnd twitch: <url> =  fav tracks: gasoline, how do i make you love me, take my breath, sacrifice, out of time, best friends, don't break my heart, less than zero  least fav track: i heard you're married  the weeknd - dawn fm / 2022 / xo / synthpop, r&b  8/10  y'all know this is just my opinion, right?",https://i.ytimg.com/vi/LiQfSv1p_IA/hqdefault.jpg,738665,8.0,"['synthpop', 'r&b']",white_check,"[(187, 183, 179), (52, 47, 45), (88, 80, 77)]"
6,YMoJ4jsLqiQ,Cocteau Twins,Heaven or Las Vegas,2022-01-08T18:52:54Z,PT5M15S,"listen: <url>  classics week 2022 closes with heaven or las vegas, cocteau twins' final 4ad album and one of dream pop's most iconic statements.  more classic reviews: <url>  = subscribe: <url>  patreon: <url>  official site: <url>  twitter: <url>  instagram: <url>  tiktok: <url>  tnd twitch: <url> =  cocteau twins - heaven or las vegas / 1990 / 4ad / dream pop  classic/10  y'all know this is just my opinion, right?",https://i.ytimg.com/vi/YMoJ4jsLqiQ/hqdefault.jpg,143690,,['dream pop'],other,"[(53, 34, 42), (187, 114, 115), (148, 140, 138)]"
7,OHjl7SdzRbg,Stevie Wonder,Songs in the Key of Life,2022-01-07T04:59:26Z,PT10M27S,"listen: <url>  songs in the key of life is the crown jewel of stevie wonder's unparalleled discography.  more classic reviews: <url>  = subscribe: <url>  patreon: <url>  official site: <url>  twitter: <url>  instagram: <url>  tiktok: <url>  tnd twitch: <url> =  stevie wonder - songs in the key of life / 1976 / motown / soul  classic/10  y'all know this is just my opinion, right?",https://i.ytimg.com/vi/OHjl7SdzRbg/hqdefault.jpg,143620,,['soul'],other,"[(210, 172, 143), (158, 61, 53), (54, 43, 42)]"
8,wqxtzJKn-V8,Yellow Magic Orchestra,Solid State Survivor,2022-01-06T03:35:49Z,PT6M53S,"listen: <url>  solid state survivor is one of the greatest, most ahead of the curve synthpop albums ever made.  more classic reviews: <url>  = subscribe: <url>  patreon: <url>  official site: <url>  twitter: <url>  instagram: <url>  tiktok: <url>  tnd twitch: <url> =  yellow magic orchestra - solid state survivor / 1979 / alfa / synthpop  classic/10  y'all know this is just my opinion, right?",https://i.ytimg.com/vi/wqxtzJKn-V8/hqdefault.jpg,84101,,['synthpop'],other,"[(53, 37, 43), (230, 206, 184), (154, 148, 145)]"
9,y-hL789xc8Q,Elliott Smith,Elliott Smith,2022-01-05T03:29:20Z,PT8M37S,"listen: <url>  elliott smith's self-titled sophomore album is a devastating masterpiece of indie folk.  more classic reviews: <url>  = subscribe: <url>  patreon: <url>  official site: <url>  twitter: <url>  instagram: <url>  tiktok: <url>  tnd twitch: <url> =  elliott smith / 1995 / kill rock stars / singer-songwriter  classic/10  y'all know this is just my opinion, right?",https://i.ytimg.com/vi/y-hL789xc8Q/hqdefault.jpg,137287,,['singer-songwriter'],other,"[(200, 169, 134), (7, 5, 4), (110, 68, 29)]"
